Dimension,Num Points,Num Classes,Data file,Serial All Time (ms),Serial Initialize Time (ms),Serial Classify Time (ms),Serial Update Time (ms),Serial Last Classify Time (ms),MPI All Time (ms),MPI Initialize Time (ms),MPI Classify Time (ms),MPI Update Time (ms),MPI Last Classify Time (ms),CUDA All Time (ms),CUDA Initialize Time (ms),CUDA Classify Time (ms),CUDA Update Time (ms),CUDA Last Classify Time (ms),Serial output file,MPI output file,CUDA output file
10,1024,2,data/1024_10D.csv,2.3528,0.1063,1.6484,0.4767,0.1017,1.2250,0.1056,0.7570,0.2618,0.0377,321.8766,0.1105,7.6679,0.4848,0.5386,results/1024_10D_2C_serial.csv,results/1024_10D_2C_mpi.csv,results/1024_10D_2C_cuda.csv
3,1024,5,data/1024_3D.csv,5.2400,0.3957,4.2260,0.4972,0.1111,2.9280,0.4635,1.9770,0.3905,0.0646,357.5894,0.3799,19.4499,1.2646,0.5130,results/1024_3D_5C_serial.csv,results/1024_3D_5C_mpi.csv,results/1024_3D_5C_cuda.csv
3,1024,5,data/1024_3D.csv,3.4055,0.3903,2.6197,0.2883,0.1010,1.9772,0.3862,1.3304,0.1848,0.0491,355.7436,0.4064,12.9249,1.1643,0.5233,results/1024_3D_5C_serial.csv,results/1024_3D_5C_mpi.csv,results/1024_3D_5C_cuda.csv
3,1024,5,data/1024_3D.csv,3.4321,0.4250,2.6079,0.2919,0.1006,2.4610,0.3860,1.4772,0.5219,0.0474,351.6920,0.4322,12.3197,0.2994,0.5110,results/1024_3D_5C_serial.csv,results/1024_3D_5C_mpi.csv,results/1024_3D_5C_cuda.csv
10,1024,5,data/1024_10D.csv,6.0659,0.5820,4.5508,0.7088,0.2176,3.6612,0.5679,2.5663,0.3932,0.0947,391.2745,0.5949,11.8818,0.7146,0.5786,results/1024_10D_5C_serial.csv,results/1024_10D_5C_mpi.csv,results/1024_10D_5C_cuda.csv
10,1024,5,data/1024_10D.csv,5.9211,0.5894,4.4629,0.6495,0.2120,3.3081,0.5822,2.2068,0.3581,0.1240,390.5141,0.5775,11.2307,1.2691,0.5898,results/1024_10D_5C_serial.csv,results/1024_10D_5C_mpi.csv,results/1024_10D_5C_cuda.csv
10,1024,5,data/1024_10D.csv,8.2923,0.6156,6.2367,1.1309,0.2985,4.4961,0.5853,3.2337,0.5431,0.0944,381.7743,0.6009,15.8925,1.1041,0.5868,results/1024_10D_5C_serial.csv,results/1024_10D_5C_mpi.csv,results/1024_10D_5C_cuda.csv
3,1024,10,data/1024_3D.csv,7.2880,1.3294,5.4366,0.3209,0.1931,4.3912,1.4219,2.6245,0.2272,0.0906,386.1508,1.2956,14.8636,0.3249,0.5550,results/1024_3D_10C_serial.csv,results/1024_3D_10C_mpi.csv,results/1024_3D_10C_cuda.csv
3,1024,10,data/1024_3D.csv,10.7552,1.4146,8.6257,0.5090,0.1920,6.1877,1.4737,4.2231,0.3648,0.0920,369.5521,1.2727,23.6197,1.8189,0.5468,results/1024_3D_10C_serial.csv,results/1024_3D_10C_mpi.csv,results/1024_3D_10C_cuda.csv
3,1024,10,data/1024_3D.csv,7.9459,1.4364,5.9571,0.3376,0.2062,6.2842,1.2774,4.4546,0.3815,0.1421,417.0407,1.2662,16.4632,0.4250,0.5407,results/1024_3D_10C_serial.csv,results/1024_3D_10C_mpi.csv,results/1024_3D_10C_cuda.csv
10,1024,10,data/1024_10D.csv,14.4660,2.3102,10.7817,0.9190,0.4445,8.2884,2.1255,5.3892,0.5381,0.1860,351.3525,2.1353,17.3568,0.9626,0.6656,results/1024_10D_10C_serial.csv,results/1024_10D_10C_mpi.csv,results/1024_10D_10C_cuda.csv
10,1024,10,data/1024_10D.csv,11.5243,2.2599,8.1419,0.6820,0.4316,6.9168,2.1653,4.1130,0.4070,0.1845,403.2430,2.2555,13.3335,1.1327,0.6676,results/1024_10D_10C_serial.csv,results/1024_10D_10C_mpi.csv,results/1024_10D_10C_cuda.csv
10,1024,10,data/1024_10D.csv,11.9421,2.0795,8.7313,0.7191,0.4038,7.1959,2.0874,4.4353,0.4427,0.1829,335.6302,2.0710,14.0421,0.7488,0.6646,results/1024_10D_10C_serial.csv,results/1024_10D_10C_mpi.csv,results/1024_10D_10C_cuda.csv
3,1024,100,data/1024_3D.csv,103.2946,86.1146,15.5329,0.1202,1.5181,127.0208,112.5679,12.8882,0.1776,1.3149,393.1636,87.1689,12.1364,0.1662,1.2001,results/1024_3D_100C_serial.csv,results/1024_3D_100C_mpi.csv,results/1024_3D_100C_cuda.csv
3,1024,100,data/1024_3D.csv,112.1293,87.0494,23.3512,0.1941,1.5232,105.5021,88.5775,15.3139,0.2980,1.2605,436.7107,88.7108,18.1678,0.2565,1.1981,results/1024_3D_100C_serial.csv,results/1024_3D_100C_mpi.csv,results/1024_3D_100C_cuda.csv
3,1024,100,data/1024_3D.csv,108.0872,86.2682,20.1067,0.1562,1.5441,99.5269,88.2938,10.1149,0.1733,0.8931,435.6581,87.3946,15.7297,0.2311,1.5391,results/1024_3D_100C_serial.csv,results/1024_3D_100C_mpi.csv,results/1024_3D_100C_cuda.csv
10,1024,100,data/1024_10D.csv,245.2457,174.9303,66.1181,0.7177,3.4575,270.6368,231.3089,36.6857,0.5829,1.9462,563.2836,176.7193,39.4445,0.8010,2.0705,results/1024_10D_100C_serial.csv,results/1024_10D_100C_mpi.csv,results/1024_10D_100C_cuda.csv
10,1024,100,data/1024_10D.csv,245.6915,177.4433,64.0296,0.7244,3.4743,212.0013,177.4476,32.1679,0.5062,1.7982,600.2975,176.9254,37.3269,0.7195,2.0736,results/1024_10D_100C_serial.csv,results/1024_10D_100C_mpi.csv,results/1024_10D_100C_cuda.csv
10,1024,100,data/1024_10D.csv,217.7411,182.1311,31.7363,0.3240,3.5395,201.4203,183.4481,15.9192,0.2527,1.7319,489.3197,178.3250,18.7341,0.3978,2.0838,results/1024_10D_100C_serial.csv,results/1024_10D_100C_mpi.csv,results/1024_10D_100C_cuda.csv
3,10000,2,data/10000_3D.csv,9.8559,0.8228,6.8877,1.6929,0.4471,5.3384,0.7408,3.5455,0.8128,0.1898,374.8309,0.7190,30.7139,1.7409,1.9814,results/10000_3D_2C_serial.csv,results/10000_3D_2C_mpi.csv,results/10000_3D_2C_cuda.csv
3,10000,2,data/10000_3D.csv,16.5869,0.7211,12.4440,2.9627,0.4500,9.0172,0.8790,6.3605,1.5323,0.1833,389.0049,0.7271,56.2360,3.1035,1.9999,results/10000_3D_2C_serial.csv,results/10000_3D_2C_mpi.csv,results/10000_3D_2C_cuda.csv
3,10000,2,data/10000_3D.csv,10.9968,0.7105,7.9615,1.8730,0.4457,5.9741,0.7424,4.1027,0.8888,0.1826,368.2323,0.8539,34.7781,2.0037,2.0337,results/10000_3D_2C_serial.csv,results/10000_3D_2C_mpi.csv,results/10000_3D_2C_cuda.csv
