Dimension,Num Points,Num Classes,Data file,Serial All Time (ms),Serial Initialize Time (ms),Serial Classify Time (ms),Serial Update Time (ms),Serial Last Classify Time (ms),MPI All Time (ms),MPI Initialize Time (ms),MPI Classify Time (ms),MPI Update Time (ms),MPI Last Classify Time (ms),CUDA All Time (ms),CUDA Initialize Time (ms),CUDA Classify Time (ms),CUDA Update Time (ms),CUDA Last Classify Time (ms),Serial output file,MPI output file,CUDA output file
10,100489,10,data/100489_10D.csv,1688.3735,206.6978,1327.6173,114.8949,39.1307,1144.5987,305.8009,759.9755,58.7788,18.0252,2277.8511,205.9088,1535.3829,111.5330,48.8428,results/100489_10D_10C_serial.csv,results/100489_10D_10C_mpi.csv,results/100489_10D_10C_cuda.csv
10,100489,10,data/100489_10D.csv,3141.8372,211.1114,2662.9695,228.5361,39.1577,1809.9124,213.8596,1466.7324,109.4354,18.1856,3938.4243,210.6336,3093.8994,226.5498,43.0868,results/100489_10D_10C_serial.csv,results/100489_10D_10C_mpi.csv,results/100489_10D_10C_cuda.csv
3,100489,100,data/100489_3D.csv,22548.4707,8907.1025,13389.9531,98.0741,153.2386,20046.5443,9431.9863,10454.9639,83.0052,75.7716,12055.1455,8968.6602,2582.4180,99.3026,40.7327,results/100489_3D_100C_serial.csv,results/100489_3D_100C_mpi.csv,results/100489_3D_100C_cuda.csv
3,100489,100,data/100489_3D.csv,20120.5879,8984.1504,10904.2773,80.3500,151.7254,15503.9389,10778.3076,4569.8149,56.1910,99.0951,12158.6855,9528.6982,2174.1375,88.8186,25.3972,results/100489_3D_100C_serial.csv,results/100489_3D_100C_mpi.csv,results/100489_3D_100C_cuda.csv
3,100489,100,data/100489_3D.csv,22440.2598,9816.3750,12364.3457,93.8177,165.5598,18375.4063,10509.0059,7465.6084,296.6023,103.5604,12171.5918,9489.3457,2174.7173,96.5975,25.4249,results/100489_3D_100C_serial.csv,results/100489_3D_100C_mpi.csv,results/100489_3D_100C_cuda.csv
10,100489,100,data/100489_10D.csv,55916.5898,19787.8848,35426.3203,349.9413,352.1688,40804.8031,20838.4199,19216.8926,570.2484,177.2995,24168.3730,19085.5508,4366.6558,335.7043,33.5688,results/100489_10D_100C_serial.csv,results/100489_10D_100C_mpi.csv,results/100489_10D_100C_cuda.csv
10,100489,100,data/100489_10D.csv,52487.6758,18956.2266,32852.1719,325.1479,353.9161,40833.2911,22089.4668,18116.6504,424.8102,200.4066,23916.5312,19279.4648,3923.9680,308.8323,55.5090,results/100489_10D_100C_serial.csv,results/100489_10D_100C_mpi.csv,results/100489_10D_100C_cuda.csv
10,100489,100,data/100489_10D.csv,62816.4375,19343.1426,42702.6016,423.5850,346.7891,45533.5629,20554.6113,24569.2422,233.2902,174.3729,24451.4824,18464.2012,5129.1909,390.8608,52.7084,results/100489_10D_100C_serial.csv,results/100489_10D_100C_mpi.csv,results/100489_10D_100C_cuda.csv
3,1000000,2,data/1000000_3D.csv,1676.4514,66.9637,1254.4803,310.6801,44.3045,921.7401,69.5667,675.2700,147.7289,26.3340,11346.3311,67.1658,10154.0654,315.2767,367.7071,results/1000000_3D_2C_serial.csv,results/1000000_3D_2C_mpi.csv,results/1000000_3D_2C_cuda.csv
3,1000000,2,data/1000000_3D.csv,666.9594,64.9836,446.8197,110.4842,44.6573,381.3281,69.6297,242.6398,49.2108,17.1251,4564.3730,67.0823,3667.0217,113.6605,360.4173,results/1000000_3D_2C_serial.csv,results/1000000_3D_2C_mpi.csv,results/1000000_3D_2C_cuda.csv
3,1000000,2,data/1000000_3D.csv,1781.6477,65.8120,1347.5118,321.9111,46.3835,940.6831,99.3323,679.9745,141.1739,17.0450,11728.9287,66.8350,10564.3584,327.0117,360.0630,results/1000000_3D_2C_serial.csv,results/1000000_3D_2C_mpi.csv,results/1000000_3D_2C_cuda.csv
